"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,10920,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"2",1982,17981,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"3",1983,10685,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"4",1984,48135,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"5",1985,30865,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"6",1986,32153,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"7",1987,39021,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"8",1988,22940,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"9",1989,11329,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"10",1990,8798,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"11",1991,2651,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"12",1992,14089,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"13",1993,24951,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"14",1994,5457,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"15",1995,44377,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"16",1996,15507,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"17",1997,4493,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"18",1998,12569,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"19",1999,2478,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"20",2000,17457,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"21",2001,4767,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"22",2002,8945,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"23",2003,9773,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"24",2004,6826,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"25",2005,5102,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"26",2006,12460,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"27",2007,1827,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"28",2008,1061,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"29",2009,6480,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"30",2010,6327,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"31",2011,174,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"32",2012,760,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"33",2013,14831,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"34",2014,42840,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"35",2015,32733,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"36",2016,25882,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"37",2017,46373,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"38",2018,1057,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"39",2019,3295,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"40",2020,4764,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"41",2021,448,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"42",2022,327,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
