"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,3149,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"2",1986,933,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"3",1988,1453,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"4",1989,532,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"5",1990,441,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"6",1991,598,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"7",1992,304,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"8",1993,3801,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"9",1994,1361,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"10",1995,1054,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"11",1996,446,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"12",1997,560,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"13",1998,884,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"14",1999,4,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"15",2000,86,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"16",2001,1063,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"17",2002,36,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"18",2003,46,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"19",2004,142,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"20",2005,5206,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"21",2006,51,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"22",2007,698,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"23",2009,163,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"24",2010,207,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"25",2011,664,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"26",2012,183,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"27",2013,834,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"28",2014,4267,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"29",2015,639,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"30",2016,2730,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"31",2017,767,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"32",2018,1639,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"33",2019,1632,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"34",2020,3139,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"35",2021,3048,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"36",2022,1939,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"37",2023,739,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"38",2024,5820,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
