"YEAR","DATA_VALUE","LOWER_95_CI","UPPER_95_CI","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
1984,918,139,1697,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC ANGEL SHARK","MID-ATLANTIC"
1985,4567,0,13518,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1986,1927,0,4500,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1989,621,0,1653,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1991,400,0,1193,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1992,278,0,750,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1998,1237,0,3223,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2008,459,0,1206,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2009,287,0,810,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2010,4204,0,12733,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2014,94,0,279,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2016,1919,0,5176,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2017,927,0,2578,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2018,834,0,2298,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2019,1244,0,2773,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2020,1838,55,3622,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2021,1414,0,4131,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2022,37,0,86,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1989,254,0,763,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BASKING SHARK","MID-ATLANTIC"
1988,161,0,470,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE THRESHER","NORTH ATLANTIC"
1992,896,0,2670,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKNOSE SHARK","MID-ATLANTIC"
1986,46,0,138,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1989,4356,0,11885,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1990,228,0,679,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1991,575,0,1820,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1994,1863,0,5523,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1995,1351,0,3503,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
